"RBallID","HomeTeam","AwayTeam","Timestamp","Incident","IncidentNumber","Minute"
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 09:55:35","Transmission Online",0,0
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 09:55:43","Lineup changed",1,0
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 10:19:16","Scout in Stadion",2,0
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 10:20:32","GCC",3,0
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 10:57:49","Jersey Changed",4,0
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 10:57:49","Jersey Changed",5,0
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 10:57:51","Players are coming out",6,0
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 10:57:53","GCC",7,0
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 10:58:19","Players lined up",8,0
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 10:58:23","Shake hands",9,0
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:00:00","Flip coin",10,0
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:00:44","Game about to start",11,0
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:01:00","Start RT1 Team 2",12,1
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:01:01","SAFE2",13,1
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:01:17","AT2",14,1
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:01:19","POSSIBLE_TI",15,1
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:01:20","TI1",16,1
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:01:25","Restart",17,1
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:01:26","SAFE1",18,1
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:01:49","AT1",19,1
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:01:57","SAFE1",20,1
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:01:58","AT1",21,1
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:02:08","SAFE1",22,2
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:02:13","AT1",23,2
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:02:19","POSSIBLE_TI",24,2
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:02:20","TI2",25,2
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:02:32","Restart",26,2
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:02:45","DANGER1",27,2
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:02:45","DAT1",28,2
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:02:53","SAFE1",29,2
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:03:00","AT2",30,2
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:03:02","DANGER2",31,3
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:03:02","DAT2",32,3
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:03:07","SAFE1",33,3
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:03:34","AT1",34,3
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:03:36","POSSIBLE_TI",35,3
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:03:37","TI1",36,3
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:03:44","Restart",37,3
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:03:58","SAFE1",38,3
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:04:03","AT1",39,4
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:04:07","DANGER1",40,4
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:04:07","DAT1",41,4
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:04:32","SAFE2",42,4
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:04:55","SAFE1",43,4
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:05:02","SAFE2",44,5
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:05:17","AT1",45,5
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:05:19","DANGER1",46,5
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:05:19","DAT1",47,5
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:05:26","SHB1",48,5
969465,"RCD Espanyol Barcelona","UD Las Palmas","04/28/2018 11:05:30","SAFE2",49,5
